CreditScore,Geography,Gender,Age,Balance,NumOfProducts,HasCrCard,EstimatedSalary,Exited
665,France,Female,40,0,1,1,161848.03,Stay
623,France,Female,44,0,2,0,167162.43,Stay
738,France,Male,31,82674.15,1,1,41970.72,Stay
528,Spain,Male,36,0,2,1,60536.56,Stay
670,Spain,Female,65,0,1,1,177655.68,Churn
622,Spain,Female,46,107073.27,2,1,30984.59,Churn
582,Germany,Male,32,88938.62,1,1,10054.53,Stay
785,Germany,Female,36,99806.85,1,0,36976.52,Stay
605,Spain,Male,33,150092.8,1,0,71862.79,Stay
479,Germany,Male,35,92833.89,1,1,99449.86,Churn
685,Germany,Male,30,90536.81,1,0,63082.88,Stay
538,Germany,Male,39,108055.1,2,1,27231.26,Stay
562,France,Male,42,100238.35,1,0,86797.41,Stay
675,Spain,Male,36,106190.55,1,0,22994.32,Stay
721,Germany,Male,28,154475.54,2,0,101300.94,Churn
628,Germany,Female,30,132351.29,2,1,74169.13,Stay
668,Germany,Female,37,167864.4,1,1,115638.29,Stay
506,France,Female,41,0,2,1,31766.3,Stay
524,Germany,Female,31,107818.63,1,1,199725.39,Churn
699,Germany,Male,34,185173.81,2,1,120834.48,Stay
828,France,Male,34,129433.34,2,0,38131.77,Stay
674,Spain,Male,39,120193.42,1,0,100130.95,Stay
656,France,Female,39,0,2,1,141069.88,Stay
684,Germany,Female,48,126384.42,1,1,198129.36,Stay
625,France,Female,28,0,1,0,183646.41,Stay
432,France,Male,42,152603.45,1,1,110265.24,Churn
549,France,Female,52,0,1,0,8636.05,Churn
625,Germany,Male,56,148507.24,1,1,46824.08,Churn
828,France,Female,41,0,2,1,171378.77,Stay
770,France,Male,24,101827.07,1,1,167256.35,Stay
758,France,Female,34,0,2,1,124226.16,Stay
795,Germany,Female,33,130862.43,1,1,114935.21,Stay
687,France,Male,38,122570.87,1,1,35608.88,Stay
686,France,Male,25,0,2,0,16459.37,Stay
789,Germany,Male,39,124828.46,2,1,124411.08,Stay
589,Germany,Female,50,144895.05,2,1,34941.23,Stay
461,Germany,Female,34,63663.93,1,0,167784.28,Stay
637,France,Male,40,133463.1,1,0,93165.34,Stay
584,Spain,Female,48,213146.2,1,1,75161.25,Churn
579,Spain,Female,35,129490.36,2,0,8590.83,Churn
756,Germany,Male,44,137452.09,1,1,189543.9,Stay
663,France,Male,34,0,2,1,180427.24,Stay
682,France,Female,43,125851.93,1,1,193318.33,Stay
793,Spain,Male,52,0,1,1,159123.82,Churn
691,France,Female,31,40915.55,1,1,126213.84,Churn
485,Spain,Female,21,113157.22,1,1,54141.5,Stay
635,Spain,Female,29,138296.94,2,1,141075.51,Stay
650,France,Male,37,106967.18,1,0,24495.03,Stay
735,France,Male,44,120681.63,1,1,74836.34,Stay
416,France,Male,32,0,2,0,878.87,Stay
754,Spain,Female,32,0,2,1,89520.75,Stay
535,France,Female,48,0,1,1,149892.79,Churn
716,Spain,Male,42,0,2,1,180800.42,Stay
539,France,Male,37,127609.59,1,1,98646.22,Stay
614,France,Female,43,0,2,1,109041.53,Stay
706,Spain,Male,57,0,1,1,17941.16,Churn
758,France,Female,33,0,2,0,82996.47,Stay
586,Spain,Female,28,0,2,1,92067.35,Stay
646,France,Female,73,97259.25,1,0,104719.66,Stay
631,Germany,Female,33,123246.7,1,0,112687.57,Stay
717,Spain,Female,22,101060.25,1,0,84699.56,Stay
684,France,Male,30,0,2,1,83473.82,Stay
800,France,Female,49,108007.36,1,0,47125.11,Stay
721,Spain,Female,36,0,2,1,106977.8,Stay
683,Spain,Male,29,133702.89,1,1,55582.54,Churn
660,Germany,Male,31,125189.75,2,1,139874.43,Stay
704,Germany,Female,24,113034.22,1,1,162503.48,Churn
615,Spain,Female,41,109013.23,1,1,196499.96,Stay
667,Spain,Female,39,0,2,1,40721.24,Churn
682,Germany,Male,24,57929.81,2,0,53134.3,Stay
484,France,Female,29,130114.39,1,1,164017.89,Stay
628,Germany,Male,27,95826.49,2,1,155996.96,Stay
480,Germany,Male,44,129608.57,1,1,5472.7,Churn
578,France,Male,30,169462.09,1,1,112187.11,Stay
512,France,Male,40,0,2,1,146457.83,Stay
484,Spain,Female,35,133868.21,1,1,27286.1,Stay
510,France,Female,30,0,2,1,130553.47,Stay
606,Germany,Male,36,190479.48,2,0,179351.89,Stay
597,Spain,Female,40,101993.12,1,0,94774.12,Stay
754,Germany,Female,55,161608.81,1,1,8080.85,Churn
850,Spain,Female,45,122311.21,1,1,19482.5,Stay
510,France,Male,65,0,2,1,48071.61,Stay
778,Germany,Female,45,162150.42,2,1,174531.27,Stay
636,France,Male,42,0,2,1,55470.78,Stay
804,France,Female,50,0,1,1,8546.87,Churn
514,France,Male,32,0,2,1,95857.18,Stay
730,France,Female,39,99010.67,1,1,194945.8,Stay
525,Spain,Female,37,0,1,0,131521.72,Stay
616,Spain,Male,30,0,2,0,196108.51,Stay
687,Germany,Female,34,111388.18,2,1,148564.76,Stay
715,France,Female,41,56214.85,2,0,92982.61,Churn
512,France,Female,36,84327.77,2,1,17675.36,Stay
479,France,Male,40,0,2,0,114996.43,Stay
601,France,Male,32,93012.89,1,1,86957.42,Stay
580,Spain,Male,29,61710.44,2,1,128077.8,Stay
807,France,Male,35,174790.15,1,1,600.36,Stay
616,Spain,Female,32,0,2,1,43001.46,Stay
721,Germany,Male,37,107720.64,1,1,158591.12,Stay
501,France,Male,57,0,2,1,47847.19,Stay
521,France,Male,35,96423.84,1,1,10488.44,Stay
850,Spain,Male,30,141040.01,1,1,5978.2,Stay
759,France,Male,42,105420.18,1,0,121409.06,Stay
516,Spain,Male,50,0,1,0,146145.93,Churn
711,France,Female,38,129022.06,2,1,14374.86,Churn
512,Spain,Male,33,176666.62,1,1,94670.77,Stay
550,France,Male,37,0,1,1,179670.31,Stay
608,Spain,Female,41,89763.84,1,0,199304.74,Churn
618,France,Male,34,134954.53,1,1,151954.39,Stay
643,France,Male,45,0,1,1,142513.5,Churn
671,France,Male,45,106376.85,1,0,158264.62,Stay
689,Germany,Male,33,161814.64,2,1,169381.9,Stay
603,France,Male,31,0,2,1,169915.02,Stay
620,France,Female,41,0,2,0,88852.47,Stay
676,France,Female,34,63095.01,1,1,40645.81,Stay
572,Germany,Male,26,118287.01,2,0,60427.3,Stay
668,Germany,Male,47,106854.21,1,0,157959.02,Churn
695,France,Male,46,49512.55,1,1,133007.34,Stay
730,Spain,Female,33,0,2,0,176576.62,Stay
807,France,Male,43,105799.32,2,1,34888.04,Churn
592,France,Male,54,0,1,1,28737.71,Churn
726,France,Female,31,114722.05,2,1,98178.57,Stay
514,Spain,Male,30,0,1,0,125010.24,Stay
567,France,Male,42,0,2,1,167984.61,Stay
850,France,Male,33,0,1,1,4861.72,Churn
671,Germany,Male,45,99564.22,1,1,108872.45,Churn
670,France,Male,37,170557.91,2,1,198252.88,Stay
694,France,Female,30,0,2,1,26960.31,Stay
547,Germany,Female,39,74596.15,3,1,85746.52,Churn
751,Germany,Male,50,96888.39,1,1,77206.25,Churn
594,Germany,Female,29,130830.22,1,1,61048.53,Stay
673,France,Male,72,0,2,0,111981.19,Stay
610,France,Male,40,0,2,1,62232.6,Stay
512,France,Female,37,0,2,0,156105.03,Stay
767,Germany,Male,20,119714.25,2,0,150135.38,Stay
585,France,Female,67,113978.97,2,0,93146.11,Stay
763,Germany,Male,42,100160.75,1,1,33462.94,Churn
712,France,Female,29,0,1,1,144375,Stay
539,Germany,Female,43,116220.5,3,1,55803.96,Churn
668,France,Female,46,0,3,1,89048.46,Churn
703,France,Male,28,81173.83,2,0,162812.16,Stay
662,Spain,Male,38,0,2,1,136259.65,Stay
725,Germany,Female,39,116803.8,1,1,124052.97,Stay
703,France,Male,37,105961.68,2,0,74158.8,Stay
659,Germany,Male,67,117411.6,1,1,45071.09,Churn
523,Spain,Male,34,0,2,1,62030.06,Stay
635,France,Female,40,123497.58,1,1,131953.23,Churn
772,Germany,Male,26,152400.51,2,1,79414,Stay
545,France,Female,26,0,2,1,199638.56,Stay
634,Germany,Male,24,103097.85,1,1,157577.29,Stay
739,Germany,Male,54,126418.14,1,1,134420.75,Churn
771,Germany,Female,36,77846.9,1,0,99805.99,Stay
587,Spain,Female,34,0,2,1,97932.68,Stay
681,France,Female,79,0,2,0,170968.99,Stay
544,Germany,Male,37,79731.91,1,1,57558.95,Stay
696,Spain,Male,28,0,1,0,176713.47,Stay
766,Spain,Male,41,0,2,0,34283.23,Stay
727,France,Male,34,0,2,1,198637.34,Stay
671,Germany,Female,34,37266.67,2,0,156917.12,Stay
693,France,Female,30,127992.25,1,1,50457.2,Stay
850,Germany,Male,38,54901.01,1,1,140075.55,Stay
732,Germany,Male,42,108748.08,2,1,65323.11,Stay
726,Spain,Female,48,99906.19,1,1,64323.24,Stay
557,France,Female,32,184686.41,2,1,14956.44,Stay
682,France,Female,26,110654.02,1,0,111879.21,Stay
738,Spain,Male,31,79019.8,1,1,18606.23,Stay
531,Spain,Female,36,99240.51,1,1,123137.01,Stay
498,France,Male,34,0,2,1,148528.24,Stay
651,France,Male,36,0,2,1,13898.31,Stay
549,Spain,Female,39,0,1,0,81259.25,Churn
791,Germany,Female,35,52436.2,1,1,161051.75,Stay
650,Spain,Male,41,0,2,0,191599.67,Stay
733,Germany,Male,34,100337.96,3,1,48559.19,Churn
811,Germany,Female,34,149297.19,2,1,186339.74,Stay
707,France,Male,30,0,2,1,33159.37,Stay
712,Germany,Male,28,145605.44,1,0,93883.53,Stay
706,Spain,Female,37,0,2,1,110899.3,Stay
756,France,Male,62,0,1,1,11199.04,Churn
777,France,Female,53,0,2,1,189992.97,Stay
646,France,Male,35,84026.86,1,0,164255.69,Stay
714,France,Male,46,0,1,1,152167.79,Churn
782,France,Male,39,0,2,1,33949.67,Stay
775,Spain,Male,29,0,2,1,68143.93,Stay
479,Germany,Male,35,138718.92,1,1,47251.79,Churn
807,France,Male,42,118274.71,1,1,25885.72,Stay
799,France,Female,22,174185.98,2,0,192633.85,Stay
675,France,Male,40,113208.86,2,1,34577.36,Stay
602,Spain,Male,29,103907.28,1,1,161229.84,Stay
475,France,Female,32,119023.28,1,1,100816.29,Stay
744,Spain,Female,26,166297.89,1,1,181694.44,Stay
588,Spain,Male,34,0,2,1,79078.91,Stay
703,Germany,Male,42,63227,1,0,137316.32,Stay
747,Spain,Female,41,94521.17,2,1,194926.86,Stay
583,France,Male,27,0,2,1,51285.49,Stay
750,Spain,Female,34,112822.26,1,0,150401.53,Churn
681,France,Male,38,0,2,1,112491.96,Stay
773,France,Male,25,135903.33,1,1,73656.38,Stay
714,France,Female,31,125169.26,1,1,106636.89,Stay
687,Spain,Female,44,0,3,1,155853.52,Churn
511,France,Male,58,149117.31,1,1,162599.51,Stay
627,France,Male,33,0,2,1,103737.82,Stay
694,France,Female,31,0,2,1,160990.27,Stay
616,Spain,Female,36,132311.71,1,0,15462.84,Stay
687,France,Male,35,0,2,1,10334.05,Stay
712,France,Female,33,0,2,1,190686.16,Stay
553,France,Male,33,118082.89,1,0,94440.45,Stay
667,France,Male,31,119266.69,1,1,28257.63,Stay
731,France,Male,43,0,1,1,170034.95,Churn
629,Germany,Male,35,156847.29,2,1,31824.29,Stay
614,France,Male,50,137104.47,1,1,127166.49,Churn
438,Germany,Male,31,78398.69,1,1,44937.01,Stay
652,France,Female,80,0,2,1,188603.07,Stay
729,Germany,Male,30,63669.42,1,1,145111.37,Stay
642,France,Male,38,0,2,0,171463.83,Stay
806,Germany,Female,59,135296.33,1,1,182822.5,Stay
744,Spain,Male,36,153804.44,1,1,87213.33,Stay
474,Spain,Male,37,0,2,0,57175.32,Stay
559,France,Male,49,147069.78,1,1,120540.83,Churn
706,Spain,Male,42,0,2,1,28714.34,Stay
628,Spain,Female,22,0,1,1,85426.28,Stay
429,France,Male,24,95741.75,1,1,46170.75,Stay
525,Spain,Female,57,145965.33,1,1,64448.36,Stay
680,France,Female,30,141441.75,1,1,16278.97,Stay
749,France,Male,40,139290.41,1,1,182855.42,Churn
763,France,Female,31,0,2,0,50404.72,Stay
734,France,Male,30,0,2,1,107640.25,Stay
716,France,Male,35,144428.87,1,1,134132.65,Stay
594,France,Male,35,0,2,1,103480.69,Stay
644,France,Female,46,95441.27,1,1,108761.05,Churn
671,Germany,Male,35,144848.74,1,1,179012.3,Stay
664,Germany,Male,26,116244.14,2,1,95145.14,Stay
656,France,Male,50,0,2,0,72143.44,Stay
667,Spain,Female,40,146502.07,1,1,19162.89,Stay
663,Germany,Male,44,117028.6,2,0,144680.18,Stay
584,Germany,Female,30,112013.81,1,1,177772.03,Churn
626,Spain,Female,37,108269.37,1,1,5597.94,Stay
485,France,Male,29,182123.79,1,1,116828.51,Churn
659,Germany,Female,32,150923.74,2,0,174652.51,Stay
649,France,Male,33,0,2,1,2010.98,Stay
805,Spain,Female,39,165272.13,1,1,14109.85,Churn
716,Germany,Female,39,115301.31,1,1,43527.4,Churn
642,Germany,Female,40,129502.49,2,0,86099.23,Churn
659,France,Male,31,118342.26,1,0,161574.19,Stay
545,Spain,Female,47,0,2,1,38970.14,Stay
543,France,Male,22,0,2,0,127587.22,Stay
718,France,Female,25,0,2,1,30380.12,Stay
840,France,Female,43,0,2,1,90908.95,Stay
630,Germany,Female,34,106937.05,2,1,138275.01,Stay
643,Germany,Male,59,170331.37,1,1,32171.79,Stay
654,Germany,Female,32,114510.85,1,1,126143.23,Stay
582,France,Male,39,0,2,1,129892.93,Stay
659,Spain,Male,32,107594.11,2,1,102416.84,Stay
762,Spain,Male,39,81273.13,1,1,18719.67,Stay
568,Spain,Female,32,169399.6,1,1,61936.22,Stay
670,Spain,Male,25,0,2,1,78358.94,Stay
613,France,Female,45,187841.99,2,1,147224.27,Stay
539,France,Male,30,0,2,1,160979.66,Stay
850,Spain,Female,57,126776.3,2,1,132298.49,Stay
522,Spain,Male,34,126436.29,1,1,174248.52,Churn
737,France,Male,41,101960.74,1,1,123547.28,Stay
520,France,Male,58,0,2,0,32790.02,Stay
706,Spain,Male,28,0,2,0,181543.67,Stay
643,Germany,Female,45,150842.93,1,0,2319.96,Churn
648,France,Female,50,102535.57,1,1,189543.19,Stay
443,Germany,Female,29,99027.61,2,1,10940.4,Stay
640,France,Male,68,0,2,1,199493.38,Stay
628,Spain,Female,33,0,1,1,188193.25,Stay
540,Germany,Female,42,87271.41,2,1,172572.64,Stay
460,Germany,Female,35,102742.91,2,1,189339.6,Stay
636,Germany,Male,34,40105.51,2,0,53512.16,Stay
593,France,Female,29,152265.43,1,1,34004.44,Stay
801,Spain,Male,42,141947.67,1,1,10598.29,Stay
640,Germany,Female,75,106307.91,2,0,113428.77,Stay
611,Germany,Male,31,107884.81,2,1,183487.98,Stay
802,Germany,Male,31,125013.72,1,1,187658.09,Stay
717,Germany,Male,35,58469.37,2,1,172459.39,Stay
769,France,Female,39,0,1,0,21016,Stay
745,Germany,Male,45,117231.63,3,1,122381.02,Churn
572,Spain,Male,35,152390.26,1,1,128123.66,Stay
629,Spain,Female,30,34013.63,1,1,19570.63,Stay
687,Spain,Female,39,0,3,0,188150.6,Churn
483,France,Female,50,0,2,1,111020.24,Stay
690,France,Male,36,101583.11,2,1,123775.15,Stay
492,Germany,Female,30,77168.87,2,0,146700.22,Stay
709,Germany,Male,28,124695.72,2,1,145251.35,Stay
705,Germany,Male,44,105934.96,1,1,82463.69,Stay
560,France,Female,66,0,1,1,15928.49,Stay
611,Spain,Male,46,0,2,1,45886.33,Stay
730,Spain,Male,62,0,2,1,186489.95,Stay
709,Spain,Female,45,0,2,0,162922.65,Stay
544,France,Female,21,161525.96,2,1,9262.77,Stay
712,Germany,Female,29,147199.07,1,1,84932.4,Stay
752,Germany,Male,38,183102.29,1,1,71557.12,Stay
648,Spain,Male,46,127209,2,1,77405.95,Churn
556,Spain,Male,38,0,2,0,417.41,Churn
594,Spain,Female,24,97378.54,1,1,71405.17,Stay
645,Germany,Female,37,136925.09,2,0,153400.24,Stay
557,France,Male,33,54503.55,1,1,371.05,Stay
547,Germany,Male,32,155726.85,1,1,67789.99,Stay
701,France,Female,39,0,2,0,145894.9,Stay
616,France,Female,66,135842.41,1,1,183840.51,Churn
605,France,Male,52,63349.75,1,1,108887.44,Stay
593,Germany,Female,38,129499.42,1,1,154071.27,Stay
751,Spain,Male,52,0,2,0,179291.85,Stay
443,Spain,Male,36,70438.01,2,0,56937.43,Stay
685,France,Male,23,0,2,1,112239.03,Stay
718,France,Male,36,0,1,1,45909.87,Stay
538,Spain,Female,49,141434.04,1,0,173779.25,Churn
611,Spain,Female,37,0,2,1,125696.26,Stay
668,Germany,Male,37,152958.29,2,1,159585.61,Stay
537,Germany,Female,41,138306.34,1,1,106761.47,Stay
709,Spain,Male,23,0,2,0,129590.18,Stay
850,France,Male,38,0,2,1,80006.65,Stay
745,Spain,Female,31,124328.84,1,1,140451.52,Stay
693,Germany,Female,41,181461.48,3,1,187929.43,Churn
795,Spain,Male,35,0,2,1,167155.36,Stay
626,Spain,Male,26,0,2,0,191420.71,Stay
487,Germany,Female,61,110368.03,1,0,11384.45,Churn
556,France,Female,39,89588.35,1,1,94898.1,Stay
643,France,Female,46,0,2,0,106781.59,Stay
605,France,Female,28,0,2,0,159508.52,Stay
756,Germany,Female,60,115924.89,1,1,93524.19,Churn
586,France,Female,38,0,2,1,87168.46,Stay
535,Germany,Male,40,111756.5,1,1,8128.32,Churn
678,France,Female,35,0,1,1,125518.32,Stay
596,France,Male,39,0,1,1,48963.59,Stay
648,France,Male,26,162923.85,1,1,98368.24,Stay
492,Germany,Male,39,124576.65,2,1,148584.61,Stay
702,France,Male,45,80793.58,1,1,27474.81,Stay
486,Germany,Female,40,71340.09,1,1,76192.21,Stay
568,Germany,Male,40,99282.63,1,0,134600.94,Churn
619,Germany,Male,57,137946.39,1,1,72467.99,Churn
724,Germany,Male,41,127892.57,2,0,199645.45,Stay
548,Germany,Female,33,101084.36,1,1,42749.85,Stay
545,Germany,Female,37,114754.08,1,1,136050.44,Churn
683,France,Male,33,0,1,0,73564.44,Stay
762,France,Female,51,99286.98,1,0,85578.63,Stay
627,Germany,Female,30,79871.02,2,1,129826.89,Stay
516,France,Male,35,104088.59,2,0,119666,Stay
800,France,Female,38,168190.33,2,1,68052.08,Stay
464,Germany,Female,42,85679.25,1,1,164104.74,Stay
626,France,Female,35,0,1,0,80190.36,Stay
790,France,Female,31,0,2,1,84126.75,Stay
534,France,Female,34,121551.58,2,1,70179,Stay
745,France,Male,46,122220.19,1,1,118024.1,Stay
553,Spain,Male,47,116528.15,1,0,145704.19,Churn
748,France,Female,26,77780.29,1,0,183049.41,Stay
722,France,Male,37,0,1,0,120906.83,Stay
501,France,Male,40,125832.2,1,1,100433.83,Stay
675,France,Female,38,68065.8,1,0,138777,Churn
778,Spain,Female,47,127299.34,2,1,124694.99,Stay
494,Germany,Female,38,174937.64,1,1,40084.32,Stay
850,France,Male,40,0,2,0,119232.33,Stay
592,Spain,Male,31,110071.1,1,0,43921.36,Stay
590,Spain,Female,44,139432.37,1,1,62222.81,Stay
758,France,Female,39,127357.76,1,0,56577,Stay
506,France,Male,36,0,2,1,164253.35,Stay
733,France,Male,33,0,1,1,7666.73,Stay
711,France,Male,38,0,2,1,68487.51,Stay
514,Germany,Male,43,95556.31,1,0,199273.98,Churn
637,Spain,Male,37,0,1,1,186062.36,Stay
468,Germany,Male,29,111681.98,2,1,195711.16,Stay
539,France,Male,39,0,2,1,36692.17,Stay
509,Spain,Female,25,108738.71,2,1,106920.57,Stay
662,France,Female,32,133950.37,1,1,48725.68,Churn
818,Spain,Male,26,0,2,1,167036.94,Stay
608,France,Male,33,89968.69,1,1,68777.26,Stay
850,Spain,Female,32,0,2,1,18924.92,Stay
816,Germany,Female,38,130878.75,3,1,71905.77,Churn
536,France,Male,35,0,2,1,64833.28,Stay
753,France,Male,35,0,2,1,184843.77,Stay
631,Spain,Male,27,134169.62,1,1,176730.02,Stay
703,France,Male,37,149762.08,1,1,20629.4,Churn
774,France,Male,26,93844.69,1,1,28415.36,Stay
785,France,Male,28,0,2,1,77231.27,Stay
571,France,Female,33,0,2,1,102750.7,Stay
621,Germany,Male,46,141078.37,1,0,34580.8,Churn
605,Germany,Female,31,117992.59,1,1,183598.77,Stay
611,France,Female,40,100812.33,2,1,147358.27,Stay
569,France,Male,38,0,1,1,108469.2,Stay
658,France,Male,29,80262.6,1,1,20612.82,Stay
788,Spain,Male,34,156478.62,1,0,181196.76,Stay
525,France,Female,23,0,2,1,160249.1,Stay
798,France,Male,37,0,3,0,110783.28,Stay
486,Germany,Male,37,115217.99,2,1,144995.33,Stay
615,Spain,Male,61,0,2,1,150227.85,Churn
730,France,Female,35,155470.55,1,1,53718.28,Stay
641,France,Male,37,0,2,1,75248.3,Stay
542,France,Male,39,135096.77,1,1,14353.43,Churn
692,France,Male,30,0,2,0,130486.57,Stay
714,Germany,Female,55,180075.22,1,1,100127.71,Stay
591,Spain,Male,29,97541.24,1,1,196356.17,Stay
710,France,Female,41,156067.05,1,1,9983.88,Stay
639,France,Female,38,81550.94,2,0,118974.77,Stay
531,France,Female,47,0,1,0,194998.34,Churn
673,France,Female,38,170061.92,2,0,134901.34,Churn
765,Germany,Male,36,92310.54,2,1,72924.56,Stay
622,France,Female,32,169089.38,2,1,101057.95,Stay
806,France,Male,40,80613.93,1,1,142838.64,Stay
757,Germany,Male,26,121581.56,2,1,127059.04,Stay
570,France,Female,58,0,1,0,116503.92,Churn
555,Spain,Male,32,0,2,1,54405.79,Stay
692,France,Male,54,0,2,1,88721.84,Stay
774,France,Male,60,85891.55,1,1,74135.48,Churn
638,Spain,Male,44,77637.35,2,1,111346.22,Stay
543,Spain,Female,41,0,1,0,194902.16,Stay
584,France,Male,31,0,2,1,31474.27,Stay
691,Germany,Male,30,116927.89,1,1,21198.39,Stay
684,Germany,Female,40,137326.65,1,1,186976.6,Stay
733,France,Male,22,0,2,1,117202.19,Stay
599,Spain,Female,37,0,2,1,143739.29,Stay
524,Germany,Female,31,67238.98,2,1,161811.23,Stay
632,Germany,Female,38,86569.76,2,1,98090.91,Stay
735,Spain,Male,34,0,2,0,71095.41,Stay
734,France,Male,34,133598.4,1,1,13107.24,Stay
605,France,Female,51,136188.78,1,1,67110.59,Churn
793,Spain,Male,38,0,2,1,88225.02,Stay
468,France,Female,56,0,3,0,62256.87,Churn
